Caterer Name,Address,Contact Number,Email Address,Specialties,Price Range
The Celebration Caterers,"Vaishali Nagar, Jaipur",098290 12096,thecelebrationcaterers@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 800 - Rs. 2000 per plate
Sethi Caterers,"Mansarovar, Jaipur",098290 16633,sethicaterers1@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 2000 per plate
Gyan Caterers,"Pratap Nagar, Udaipur",097996 51626,gyancaterers@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1500 per plate
Hotel Heritage Cuisine,"Station Road, Jodhpur",0291-261 1750,info@hotelheritagehaveli.com,"Rajasthani, North Indian, Chinese",Rs. 800 - Rs. 1800 per plate
Shree Agarwal Caterers,"Sodala, Jaipur",094141 57452,shreeagarwalcaterers@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 100 - Rs. 500 per plate
Roop Garden,"Tonk Road, Jaipur",0141-659 4916,info@roopgarden.com,"Rajasthani, North Indian, Chinese",Rs. 800 - Rs. 2000 per plate
The Royal Treat Caterers,"Malviya Nagar, Jaipur",098290 22268,theroyaltreatcaterers@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 3000 per plate
Radhey Caterers,"Bhilwara Road, Chittorgarh",096802 14383,radheycaterers@gmail.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1500 per plate
Balaji Caterers,"Mansarovar, Jaipur",098290 10215,balajicaterers13@gmail.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
R.K. Caterers,"Shastri Nagar, Jaipur",098290 28763,rkcaterersjaipur@gmail.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
Taste Of Spice Caterers,"Jhotwara, Jaipur",096805 25301,tasteofspicecaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
Tasty Treat Caterers,Jodhpur,098290 51395,tastytreatcaterersjodhpur@gmail.com,"Rajasthani, North Indian, Chinese","₹1,000 - ₹3,000 per plate"
Maharaja Caterers,"Tonk Road, Jaipur",098290 44113,maharajacaterers2010@gmail.com,"Rajasthani, North Indian, Chinese","₹2,000 - ₹5,000 per plate"
Royal Caterers,"Vaishali Nagar, Jaipur",098290 22646,royalcaterersjpr@gmail.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
Rajbhog Caterers,"Bani Park, Jaipur",098290 11595,rajbhogcaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
Bagadiya Caterers,"Vaishali Nagar, Jaipur",098290 22120,bagadiyacaterers@gmail.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
Jain Caterers,"Raja Park, Jaipur",098290 23117,jaincaterersjpr@gmail.com,"Rajasthani, North Indian, Chinese","₹2,000 - ₹5,000 per plate"
Saffron Caterers,"East of Kailash, Delhi",011-2648 8781,info@saffroncaterers.com,"Indian, Chinese, Italian, Continental","₹500 - ₹1,500 per plate"
Lazeez Affaire Catering,"Chanakyapuri, Delhi",011-2467 3467,info@lazeezaffaire.com,"North Indian, Mughlai, Italian, Continental","₹800 - ₹2,000 per plate"
Creative Cuisines,"Greater Kailash, Delhi",011-2923 3945,info@creativecuisinesinc.com,"Indian, Continental, Mediterranean, Oriental","₹2,000 - ₹5,000 per plate"
Chef's Basket Catering,"Vasant Vihar, Delhi",011-2614 3700,contact@chefsbasket.in,"Indian, Chinese, Continental, Italian","₹800 - ₹2,000 per plate"
Kwality Caterers,"Janakpuri, Delhi",011-2555 0745,kwalitycaterers@hotmail.com,"Indian, Continental, Chinese, Mexican","₹500 - ₹1,500 per plate"
Sagar Ratna Caterers,"Defence Colony, Delhi",011-4657 4915,sagarratnacaterers@gmail.com,"South Indian, North Indian, Chinese","₹1,000 - ₹3,000 per plate"
Aaugritaa Caterers,"Dwarka, Delhi",093111 58888,info@aaugritaa.com,"Indian, Chinese, Italian, Continental","₹2,000 - ₹5,000 per plate"
The Embassy Catering,"Connaught Place, Delhi",011-4358 4430,info@theembassycatering.com,"Indian, Continental, Chinese, Mexican",Rs. 500 - Rs. 1000 per plate
Kitchen Kraft Catering,"Saket, Delhi",011-2956 6645,info@kitchenkraftcatering.com,"Indian, Continental, Oriental, Mexican",Rs. 300 - Rs. 800 per plate
Cuisines & Concepts,"Vasant Kunj, Delhi",011-2689 1668,info@cuisinesnc.com,"Indian, Chinese, Continental, Italian",Rs. 600 - Rs. 1500 per plate
Ahuja Caterers,"Kalkaji, Delhi",011-4160 1977,ahuja_caterers@yahoo.co.in,"North Indian, Chinese, Mughlai",Rs. 200 - Rs. 500 per plate
Flavors Catering,"Rohini, Delhi",098113 35555,flavors.catering@gmail.com,"Indian, Chinese, Italian, Continental",Rs. 100 - Rs. 300 per plate
Purple Berry Catering,"Vasant Kunj, Delhi",099710 14553,purpleberrycatering@gmail.com,"Indian, Chinese, Italian, Continental",Rs. 1000 - Rs. 3000 per plate
S.K. Caterers,"Greater Kailash, Delhi",011-2923 2255,info@skcaterers.com,"North Indian, Mughlai, Chinese",Rs. 700 - Rs. 1500 per plate
Sodexo Catering,"Nehru Place, Delhi",1800 267 3030,sodexo.india@sodexo.com,"Indian, Continental, Chinese, Italian",Rs. 600 - Rs. 1200 per plate
Tandoori Nights Caterers,"Karol Bagh, Delhi",011-4505 9100,info@tandoorinightscatering.com,"North Indian, Mughlai, Chinese",Rs. 500 - Rs. 1000 per plate
Indian Caterers,"Dwarka, Delhi",011-4558 2222,indiancaterers@gmail.com,"Indian, Chinese, Italian, Continental",Rs. 300 - Rs. 800 per plate
Royal Caterers,"Pitampura, Delhi",011-4504 5904,royalcaterers1@gmail.com,"North Indian, Mughlai, Chinese",Rs. 600 - Rs. 1500 per plate
The Kitchen Art Company,"Vasant Vihar, Delhi",011-4053 3633,info@thekitchenartcompany.com,"Indian, Continental, Mediterranean, Oriental",Rs. 200 - Rs. 500 per plate
Grand Caterers,"Rajouri Garden, Delhi",011-4557 0000,grandcaterersindia@gmail.com,"North Indian, Mughlai, Chinese, Italian",Rs. 100 - Rs. 300 per plate
Naveen Caterers,"Lajpat Nagar, Delhi",011-2981 0120,naveencaterers@rediffmail.com,"North Indian, Mughlai, Chinese",Rs. 1000 - Rs. 3000 per plate
Royal Fiestaa Caterers,"Kirti Nagar, Delhi",011-4144 5252,info@royalfiestaacaterers.com,"Indian, Chinese, Italian, Continental",Rs. 700 - Rs. 1500 per plate
The Ravi Caterers,"Paharganj, Delhi",011-2358 2650,info@theravicaterers.com,"North Indian, Mughlai, Chinese",Rs. 600 - Rs. 1200 per plate
Radha Krishna Caterers,"Kalkaji, Delhi",011-4161 0777,info@radhakrishnacaterers.com,"North Indian, Mughlai, Chinese",Rs. 800 - Rs. 2000 per plate
Aura Caterers,"Vasant Kunj, Delhi",011-2689 0474,info@auracaterers.com,"Indian, Continental, Chinese, Italian",Rs. 1000 - Rs. 2000 per plate
Jyoti Caterers,"Paschim Vihar, Delhi",011-2526 5172,jyoticaterers@gmail.com,"North Indian, Mughlai, Chinese",Rs. 500 - Rs. 1500 per plate
Seasons Catering,"Kailash Colony, Delhi",011-2923 8282,info@seasonscatering.in,"Indian, Continental, Chinese, Italian",Rs. 800 - Rs. 1800 per plate
PKR Caterers,"Janakpuri, Delhi",011-2551 9590,pkrcaterers@gmail.com,"North Indian, Mughlai, Chinese",Rs. 100 - Rs. 500 per plate
Chef's Choice Catering,"Saket, Delhi",011-2956 1222,info@chefschoicecatering.in,"Indian, Continental, Chinese, Italian",Rs. 800 - Rs. 2000 per plate
Deez Caterers,"Karol Bagh, Delhi",011-4505 1561,info@deezcaterers.com,"North Indian, Mughlai, Chinese",Rs. 1000 - Rs. 3000 per plate
Food Crafts by Chef Nikhil,"Rajouri Garden, Delhi",9811 944 234,foodcraftsindia@gmail.com,"Indian, Continental, Italian, Chinese",Rs. 500 - Rs. 1500 per plate
Marigold Caterers,"East Patel Nagar, Delhi",011-2588 4848,marigoldcaterers@gmail.com,"North Indian, Mughlai, Chinese, Italian","₹500 - ₹1,500 per plate"
Arora Caterers,"Paschim Vihar, Delhi",011-2526 7407,aroracaterers@yahoo.co.in,"North Indian, Mughlai, Chinese","₹800 - ₹2,000 per plate"
Saffron Caterers,"Malviya Nagar, Delhi",9810 524 039,saffroncaterers@hotmail.com,"North Indian, Mughlai, Chinese","₹500 - ₹1,500 per plate"
Bombay Essence Caterers,"Greater Kailash, Delhi",011-2923 7733,bombayessencecaterers@gmail.com,"Indian, Chinese, Italian, Continental","₹1,000 - ₹3,000 per plate"
Almondz Caterers,"Kalkaji, Delhi",011-4160 2700,info@almondzcaterers.com,"North Indian, Mughlai, Chinese, Italian","₹2,000 - ₹5,000 per plate"
Five Spice Caterers,"Vasant Kunj, Delhi",011-2613 1011,fivespicecaterers@gmail.com,"Indian, Chinese, Thai, Italian","₹800 - ₹2,000 per plate"
Fossetta Caterers,"Janakpuri, Delhi",9818 908 036,fossettacaterers@gmail.com,"North Indian, Mughlai, Chinese, Italian","₹500 - ₹1,500 per plate"
Monsoon Caterers,"Saket, Delhi",011-4059 7718,monsooncaterers@yahoo.com,"Indian, Continental, Chinese, Italian","₹800 - ₹2,000 per plate"
The K Factory,"Lajpat Nagar, Delhi",011-4656 8181,contact@thekfactory.co.in,"Indian, Chinese, Italian, Continental","₹2,000 - ₹5,000 per plate"
Essence Caterers,"Punjabi Bagh, Delhi",011-4708 4708,info@essencecaterers.com,"North Indian, Mughlai, Chinese, Italian","₹500 - ₹1,500 per plate"
S.S. Caterers,"Rohini, Delhi",011-2793 1435,sscaterers@gmail.com,"North Indian, Mughlai, Chinese","₹800 - ₹2,000 per plate"
Chef's Table Catering,"Green Park, Delhi",011-4060 7777,chefstablecateringindia@gmail.com,"Indian, Continental, Chinese, Italian","₹2,000 - ₹5,000 per plate"
Royal Catering Services,"Rajouri Garden, Delhi",9999 722 222,info@royalcateringservices.in,"North Indian, Mughlai, Chinese, Italian","₹800 - ₹2,000 per plate"
Classic Caterers,"Kirti Nagar, Delhi",011-6544 5511,classiccaterersdelhi@gmail.com,"North Indian, Mughlai, Chinese","₹500 - ₹1,500 per plate"
Shubh Aangan,Ambala,+91 98961 13633,shubhaangan@gmail.com,Indian and Continental Cuisine,"₹1,000 - ₹3,000 per plate"
Kreative Events,Ambala,+91 99913 56589,kreativeevents@gmail.com,Indian Cuisine,"₹2,000 - ₹5,000 per plate"
Inde Hotel,Ambala,+91 171 254 0201,info@indehotel.com,Multi-Cuisine,Rs. 1000 - Rs. 3000 per plate
Shubh Aangan,Ambala,+91 98961 13633,shubhaangan@gmail.com,Vegetarian Cuisine,Rs. 700 - Rs. 1500 per plate
Kreative Events,Ambala,+91 99913 56589,kreativeevents@gmail.com,Indian Sweets and Snacks,Rs. 600 - Rs. 1200 per plate
Sagar Ratna,Ambala,+91 171 255 1188,sagarratnaambala@gmail.com,Outdoor Catering,Rs. 800 - Rs. 2000 per plate
Milan Sweet Centre,Ambala,+91 81999 55592,milansweetcentre@gmail.com,Indian and Chinese Cuisine,Rs. 1000 - Rs. 2000 per plate
Chaudhary Tent House,Karnal,+91 98125 67891,chaudharytenthouse@gmail.com,Multi-Cuisine,Rs. 500 - Rs. 1500 per plate
Hotel Madhuban,Karnal,+91 184 222 0001,reservations@madhubanhotel.com,Indian and Continental Cuisine,Rs. 800 - Rs. 1800 per plate
Celebration Banquet,Karnal,+91 90508 99911,info@celebrationbanquet.com,Indian Cuisine,Rs. 100 - Rs. 500 per plate
Inde Hotel,Ambala,+91 171 254 0201,info@indehotel.com,Multi-Cuisine,Rs. 800 - Rs. 2000 per plate
Shubh Aangan,Ambala,+91 98961 13633,shubhaangan@gmail.com,Vegetarian Cuisine,Rs. 1000 - Rs. 3000 per plate
Kreative Events,Ambala,+91 99913 56589,kreativeevents@gmail.com,Indian Sweets and Snacks,Rs. 500 - Rs. 1500 per plate
Sagar Ratna,Ambala,+91 171 255 1188,sagarratnaambala@gmail.com,Outdoor Catering,"₹500 - ₹1,500 per plate"
Milan Sweet Centre,Ambala,+91 81999 55592,milansweetcentre@gmail.com,Indian and Chinese Cuisine,"₹800 - ₹2,000 per plate"
Chaudhary Tent House,Karnal,+91 98125 67891,chaudharytenthouse@gmail.com,Multi-Cuisine,"₹500 - ₹1,500 per plate"
Hotel Madhuban,Karnal,+91 184 222 0001,reservations@madhubanhotel.com,Outdoor Catering and Decoration,"₹1,000 - ₹3,000 per plate"
Celebration Banquet,Karnal,+91 90508 99911,info@celebrationbanquet.com,Indian and Continental Cuisine,"₹2,000 - ₹5,000 per plate"
S.K. Tent House,Karnal,+91 99920 29099,sktenthouse@gmail.com,Multi-Cuisine,"₹800 - ₹2,000 per plate"
The Grand Plaza,Faridabad,+91 99993 59993,info@thegrandplaza.co.in,Indian and Chinese Cuisine,"₹500 - ₹1,500 per plate"
Foodiemonks,Faridabad,+91 92056 01590,info@foodiemonks.com,Indian Sweets and Snacks,"₹800 - ₹2,000 per plate"
The Mohan Villas,Faridabad,+91 85888 33444,reservations@themohanvillas.com,Multi-Cuisine,"₹2,000 - ₹5,000 per plate"
Bikanervala,Gurgaon,+91 124 488 6677,customercare@bikanervala.com,Indian and Continental Cuisine,"₹500 - ₹1,500 per plate"
Silver Spoons,Gurgaon,+91 98103 29911,silverspoonscaterers@gmail.com,Multi-Cuisine,"₹800 - ₹2,000 per plate"
Chef's Table Caterers,Gurgaon,+91 98104 80262,info@chefstablecaterers.com,"Vegetarian, North Indian, Chinese","₹2,000 - ₹5,000 per plate"
Zayka Caterers,Ambala,+91 92156 44353,zaykacaterers@gmail.com,"Rajasthani, North Indian, Continental","₹800 - ₹2,000 per plate"
The Green Bakers,Ambala,-9876543119,info@thegreenbakers.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
The Royal Kitchen,Ambala,-9876543120,info@theroyalkitchen.com,"Rajasthani, North Indian, Continental","₹1,000 - ₹3,000 per plate"
Food Factory,Ambala,-9876543121,info@foodfactory.com,"Rajasthani, North Indian, Chinese","₹2,000 - ₹5,000 per plate"
Catering Creations,Ambala,-9876543122,info@cateringcreations.com,"Indian, Chinese, Italian",Rs. 500 - Rs. 1000 per plate
The Gourmet Kitchen,Ambala,-9876543123,info@thegourmetkitchen.com,"Rajasthani, North Indian, Chinese",Rs. 300 - Rs. 800 per plate
The Spice Route,Karnal,-9876543124,info@thespiceroute.com,"Rajasthani, North Indian, Continental",Rs. 600 - Rs. 1500 per plate
Delicious Bites,Karnal,-9876543125,info@deliciousbites.com,"Rajasthani, North Indian, Chinese",Rs. 200 - Rs. 500 per plate
The Event Caterers,Karnal,-9876543126,info@eventcaterers.com,"Rajasthani, North Indian, Chinese",Rs. 100 - Rs. 300 per plate
The Food Art Company,Ambala,-9876543127,info@foodartcompany.com,"Indian, Chinese, Continental",Rs. 1000 - Rs. 3000 per plate
Taste Buds Catering,Ambala,-9876543128,info@tastebudscatering.com,"Rajasthani, North Indian, Chinese",Rs. 700 - Rs. 1500 per plate
The Spice Kitchen,Ambala,-9876543129,info@thespicekitchen.com,"Indian, Chinese, Continental",Rs. 600 - Rs. 1200 per plate
The Gourmet Hub,Ambala,-9876543130,info@thegourmethub.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1000 per plate
Royal Caterers,Ambala,-9876543131,info@royalcaterers.com,"Rajasthani, North Indian, Chinese",Rs. 300 - Rs. 800 per plate
Flavors Catering,Karnal,-9876543132,info@flavorscatering.com,"Rajasthani, North Indian, Chinese",Rs. 600 - Rs. 1500 per plate
Grand Catering Services,Karnal,-9876543133,info@grandcateringservices.com,"Rajasthani, North Indian, Continental",Rs. 200 - Rs. 500 per plate
The Culinary Connection,Karnal,-9876543134,info@theculinaryconnection.com,"Rajasthani, North Indian, Chinese",Rs. 100 - Rs. 300 per plate
The Feast House,Karnal,+91 9876543210,thefeasthouse@email.com,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 3000 per plate
Spice Garden Catering,Faridabad,+91 9876543211,spicegarden@email.com,"Rajasthani, North Indian, Chinese",Rs. 700 - Rs. 1500 per plate
Yellow Chilli Caterers,Faridabad,+91 9876543212,yellowchillicaterers@email.com,"Indian, Chinese, Continental",Rs. 600 - Rs. 1200 per plate
Bhog Caterers,Faridabad,+91 9876543213,bhogcaterers@email.com,"Rajasthani, North Indian, Chinese",Rs. 800 - Rs. 2000 per plate
The Royal Caterers,Gurgaon,+91 9876543214,theroyalcaterers@email.com,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 2000 per plate
Purple Berry Catering,Gurgaon,+91 9876543215,purpleberrycatering@email.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1500 per plate
The Food Co. Catering,Gurgaon,+91 9876543216,thefoodco@email.com,"Rajasthani, North Indian, Chinese",Rs. 800 - Rs. 1800 per plate
Saanvi Caterers,Hisar,+91 9876543217,saanvicaterers@email.com,"Rajasthani, North Indian, Chinese",Rs. 100 - Rs. 500 per plate
The Grand Buffet Caterers,Ambala,+91 9876543218,grandbuffetcaterers@email.com,"Rajasthani, North Indian, Chinese",Rs. 800 - Rs. 2000 per plate
Zaika Caterers,Ambala,+91 9876543219,zaikacaterers@email.com,"Rajasthani, North Indian, Chinese",Rs. 1000 - Rs. 3000 per plate
Saffron Caterers,Ambala,+91 9876543220,saffroncaterers@email.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1500 per plate
Chawla Caterers,Ambala,+91 9876543221,chawlacaterers@email.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
Bon Appetit Catering,Ambala,+91 9876543222,bonappetitcatering@email.com,"Rajasthani, North Indian, Chinese","₹800 - ₹2,000 per plate"
The Food Studio,Ambala,+91 9876543223,thefoodstudio@email.com,"Rajasthani, North Indian, Chinese","₹500 - ₹1,500 per plate"
The Spice Factory,Karnal,+91 9876543224,thespicefactory@email.com,"Rajasthani, North Indian, Chinese","₹1,000 - ₹3,000 per plate"
Gourmet Catering Co.,Karnal,+91 9876543225,gourmetcatering@email.com,"Rajasthani, North Indian, Chinese",Rs. 500 - Rs. 1000 per plate
The Royal Spice Caterers,Karnal,+91 9876543226,theroyalspicecaterers@email.com,"Rajasthani, North Indian, Chinese",Rs. 300 - Rs. 800 per plate
Swaad Caterers,Ambala,+91 9876543227,swaadcaterers@email.com,"Rajasthani, North Indian, Chinese",Rs. 600 - Rs. 1500 per plate
Blue Plate Catering,Ambala,+91 9876543228,blueplatecatering@email.com,"Rajasthani, North Indian, Chinese",Rs. 200 - Rs. 500 per plate
